item_code,model_name,item_category,phase_in_at,vertical_name,sku
48.99152,The Roger Advantage,Shoes,2021-06-01T00:00:00Z,Performance All Day,The Roger Advantage M White | Eucalyptus
48.99153,The Roger Advantage,Shoes,2021-06-01T00:00:00Z,Performance All Day,The Roger Advantage M White | Rock
48.98962,The Roger Advantage,Shoes,2022-03-22T00:00:00Z,Performance All Day,THE ROGER Advantage M White | Canyon
48.98963,The Roger Advantage,Shoes,2022-03-22T00:00:00Z,Performance All Day,THE ROGER Advantage M White | Reseda
48.99454,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage W White | Rose
48.99453,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage W White | Juniper
48.99452,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage W All White
48.99451,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage W White | Midnight
48.99147,The Roger Advantage,Shoes,2021-06-01T00:00:00Z,Performance All Day,The Roger Advantage W White | Dustrose
48.99148,The Roger Advantage,Shoes,2021-06-01T00:00:00Z,Performance All Day,The Roger Advantage W White | Nimbus
48.99149,The Roger Advantage,Shoes,2021-06-01T00:00:00Z,Performance All Day,The Roger Advantage W White | Sand
48.98959,The Roger Advantage,Shoes,2022-03-22T00:00:00Z,Performance All Day,THE ROGER Advantage W White | Lily
48.98958,The Roger Advantage,Shoes,2022-03-22T00:00:00Z,Performance All Day,THE ROGER Advantage W White | Hay
48.99389,The Roger Clubhouse,Shoes,2021-05-13T00:00:00Z,Performance All Day,The Roger Clubhouse M Orange | White
48.99436,The Roger Clubhouse,Shoes,2021-03-02T00:00:00Z,Performance All Day,The Roger Clubhouse M All White
48.99435,The Roger Clubhouse,Shoes,2021-03-02T00:00:00Z,Performance All Day,The Roger Clubhouse M Black | White
48.99407,The Roger Clubhouse,Shoes,2021-09-02T00:00:00Z,Performance All Day,The Roger Clubhouse M Glacier | White
48.99388,The Roger Clubhouse,Shoes,2021-05-13T00:00:00Z,Performance All Day,The Roger Clubhouse M Forest | Pearl
48.99143,The Roger Clubhouse,Shoes,2021-08-03T00:00:00Z,Performance All Day,The Roger Clubhouse M White | Bronze
48.99144,The Roger Clubhouse,Shoes,2021-09-02T00:00:00Z,Performance All Day,The Roger Clubhouse M White | Sand
48.99145,The Roger Clubhouse,Shoes,2022-01-13T00:00:00Z,Performance All Day,The Roger Clubhouse M Almond | Sand
48.99146,The Roger Clubhouse,Shoes,2021-09-02T00:00:00Z,Performance All Day,The Roger Clubhouse M Metal | Black
48.98739,The Roger Clubhouse,Shoes,2022-01-13T00:00:00Z,Performance All Day,THE ROGER Clubhouse M Black | Indigo
48.98738,The Roger Clubhouse,Shoes,2022-01-13T00:00:00Z,Performance All Day,THE ROGER Clubhouse M White | Indigo
48.99429,The Roger Clubhouse,Shoes,2021-03-02T00:00:00Z,Performance All Day,The Roger Clubhouse W All White
48.99428,The Roger Clubhouse,Shoes,2021-03-02T00:00:00Z,Performance All Day,The Roger Clubhouse W Black | White
48.99406,The Roger Clubhouse,Shoes,2021-09-02T00:00:00Z,Performance All Day,The Roger Clubhouse W Glacier | White
48.99371,The Roger Clubhouse,Shoes,2021-05-13T00:00:00Z,Performance All Day,The Roger Clubhouse W Yellow | White
48.99369,The Roger Clubhouse,Shoes,2021-05-13T00:00:00Z,Performance All Day,The Roger Clubhouse W Cobalt | Pearl
48.99138,The Roger Clubhouse,Shoes,2021-08-03T00:00:00Z,Performance All Day,The Roger Clubhouse W White | Bronze
48.99139,The Roger Clubhouse,Shoes,2021-09-02T00:00:00Z,Performance All Day,The Roger Clubhouse W Rose | White
48.99141,The Roger Clubhouse,Shoes,2021-09-02T00:00:00Z,Performance All Day,The Roger Clubhouse W White | Sand
48.99142,The Roger Clubhouse,Shoes,2022-01-13T00:00:00Z,Performance All Day,The Roger Clubhouse W Almond | Sand
